date,actual,predicted
2025-12-08,4.0,12.0
2025-12-09,8.0,4.0
2025-12-10,9.0,8.0
2025-12-11,10.0,9.0
2025-12-12,9.333333333333334,10.0
2025-12-13,8.666666666666666,9.333333333333334
2025-12-14,8.0,8.666666666666666
2025-12-15,7.0,8.0
2025-12-16,9.0,7.0
2025-12-17,10.0,9.0
2025-12-18,16.0,10.0
2025-12-19,15.333333333333334,16.0
2025-12-20,14.666666666666666,15.333333333333334
2025-12-21,14.0,14.666666666666666
